兼	（jm;bd,jm;bj,jm;qd,jm;qj）
兽	（ub;bk,ub;ka,ub;kh）
兾	（ji;bg,ji;by）
兿	（yi;qy）
冀	（ji;bg,ji;by）
冁	（ij;dv）
冂	（pp;kd）
冃	（mk;ke）
冄	（oa;sh,rj;aa,rj;uh）
内	（nz;ad,nz;kr,nz;ud）
円	（yr;ku）
冇	（mk;uk）
冈	（gh;ki）
冉	（rj;aa,rj;kt,rj;uh）
冊	（ce;aa,ce;uh,oa;sh）
冋	（js;kk）
册	（ce;ka,ce;kh,ce;pa,ce;ph）
再	（zl;aa,zl;at,zl;hh,zl;ht）
冎	（gw;kk）
冏	（js;kk）
冐	（mk;my,mk;oo,mk;oy,mk;ry）
冑	（vb;yo,vb;yy）
冒	（mk;mo,mk;mr,mk;om,mk;oo,mk;rm）
冓	（gb;aa,gb;az,gb;hh,gb;hz,gb;jz,oa;hh）
冔	（xu;oy,xu;ry,xv;oy,xv;ry）
冕	（mm;om,mm;rm）
冖	（mi;da,mi;dv,pp;bk）
冗	（rs;bj）
冘	（yb;be,yb;dg,yb;ng,yn;be,yn;dg,yn;ng）
写	（xx;by）
冚	（kj;bu）
军	（jp;bi）
农	（ns;by,ns;ny）
冝	（yi;bq）
冞	（uf;bm）
冟	（ui;bb）
冠	（gr;bc）
冡	（mg;bu）
冢	（vs;bd,vs;bi）
冣	（zv;bq）
冤	（yr;bt）
冥	（my;bl,my;bz）
冦	（kb;bp,kb;by）
冧	（ln;bl）
冨	（fu;bf,fu;bt）
冩	（xx;bd,xx;bh）
冪	（mi;bm）
冫	（by;da,by;dh,pp;dm）
冬	（ds;wd）
冭	（tl;dd）
冮	（gh;dg）
冯	（fg;dm,py;dm）
冰	（by;du）
冱	（hu;dh）
冲	（is;dv）
决	（jt;dd,jt;dg）
冴	（ya;dy）
况	（kd;dx）
冶	（ye;dt）
冷	（lg;dl）
冸	（pj;db）
冹	（fa;db）
冺	（mn;dm）
冻	（ds;dd）
冼	（xm;dx）
冽	（lx;dl）
冾	（qw;dh）
冿	（jm;dy）
净	（jy;dv）
凁	（sb;du）
凂	（mz;dm）
凃	（tu;dy）
凄	（qi;dq）
凅	（gu;dg）
准	（vp;dv）
凇	（ss;ds）
凈	（ig;dv,jy;dv）
凉	（ld;dj）
凊	（qy;dq）
凋	（dc;dv）
凌	（ly;dl,ly;dw）
凍	（ds;dd）
凎	（gj;dj）
减	（jm;dx）
凐	（yn;dt）
凑	（cb;dz）
凒	（ai;dd,ai;dq）
